lat,lng,pop
41.377491,64.585262,74.2932
-15.376706,166.959158,73.0665
6.42375,-66.58973,75.6546
14.058324,108.277199,79.2901
-13.768752,-177.156097,80.99
24.215527,-12.885834,73.0973
15.552727,48.516388,67.2216
-13.133897,27.849332,64.5101
-19.015438,29.154857,62.0943
,,
41.902916,12.453389,
,,
38.963745,35.243322,
77.553604,23.670272,
-26.522503,31.465866,
-54.429579,-36.587909,
35.907757,127.766922,
-24.703615,-127.439308,
31.952162,35.233154,
12.226079,-69.060087,
47.411631,28.369885,
41.608635,21.745275,
31.354676,34.308825,
-49.280366,69.348557,
-4.038333,21.758664,
-10.447525,105.690449,
-12.164165,96.870956,
-6.343194,71.876519,
-75.250973,-0.071389,
